entry,school,category,castUI,dispel,mechanic,attributes,attributesEx,attributesEx2,attributesEx3,attributesEx4,stances,stancesNot,targets,targetCreatureType,requiresSpellFocus,casterAuraState,targetAuraState,castingTimeIndex,recoveryTime,categoryRecoveryTime,interruptFlags,auraInterruptFlags,channelInterruptFlags,procFlags,procChance,procCharges,maxLevel,baseLevel,spellLevel,durationIndex,powerType,manaCost,manCostPerLevel,manaPerSecond,manaPerSecondPerLevel,rangeIndex,speed,modelNextSpell,stackAmount,totem1,totem2,reagent1,reagent2,reagent3,reagent4,reagent5,reagent6,reagent7,reagent8,reagentCount1,reagentCount2,reagentCount3,reagentCount4,reagentCount5,reagentCount6,reagentCount7,reagentCount8,equippedItemClass,equippedItemSubClassMask,equippedItemInventoryTypeMask,effect1,effect2,effect3,effectDieSides1,effectDieSides2,effectDieSides3,effectBaseDice1,effectBaseDice2,effectBaseDice3,effectDicePerLevel1,effectDicePerLevel2,effectDicePerLevel3,effectRealPointsPerLevel1,effectRealPointsPerLevel2,effectRealPointsPerLevel3,effectBasePoints1,effectBasePoints2,effectBasePoints3,effectBonusCoefficient1,effectBonusCoefficient2,effectBonusCoefficient3,effectMechanic1,effectMechanic2,effectMechanic3,effectImplicitTargetA1,effectImplicitTargetA2,effectImplicitTargetA3,effectImplicitTargetB1,effectImplicitTargetB2,effectImplicitTargetB3,effectRadiusIndex1,effectRadiusIndex2,effectRadiusIndex3,effectApplyAuraName1,effectApplyAuraName2,effectApplyAuraName3,effectAmplitude1,effectAmplitude2,effectAmplitude3,effectMultipleValue1,effectMultipleValue2,effectMultipleValue3,effectChainTarget1,effectChainTarget2,effectChainTarget3,effectItemType1,effectItemType2,effectItemType3,effectMiscValue1,effectMiscValue2,effectMiscValue3,effectTriggerSpell1,effectTriggerSpell2,effectTriggerSpell3,effectPointsPerComboPoint1,effectPointsPerComboPoint2,effectPointsPerComboPoint3,spellVisual1,spellVisual2,spellIconId,activeIconId,spellPriority,name,nameFlags,nameSubtext,nameSubtextFlags,description,descriptionFlags,auraDescription,auraDescriptionFlags,manaCostPercentage,startRecoveryCategory,startRecoveryTime,minTargetLevel,maxTargetLevel,spellFamilyName,spellFamilyFlags,maxAffectedTargets,dmgClass,preventionType,stanceBarOrder,dmgMultiplier1,dmgMultiplier2,dmgMultiplier3,minFactionId,minReputation,requiredAuraVision,customFlags
2,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Forest Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
6,0,0,0,0,0,671351056,394376,0,262144,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,18,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,Pet Command: Take Position,4128894,,4128892,Commands your pet to go to the targeted position and stay there.,4128894,,4128894,0,0,0,0,0,0,0,0,1,0,-1,1,1,1,0,0,0,0
8,0,0,0,0,0,671351056,394376,0,262144,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,18,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,Pet Command: Take Position,4128894,,4128892,Commands your pet to go to the targeted position and stay there.,4128894,,4128894,0,0,0,0,0,0,0,0,1,0,-1,1,1,1,0,0,0,0
9,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Frost Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
20,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Mirkfallon Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
21,0,0,0,0,0,-1610612672,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,0,0,Path of the Wild,16712190,Passive,16712190,"While mounted, allows a player under a Dryad or Worgen disguise to move at mount speed without leaving that form.",16712190,,16712190,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,850,0,497,0,0,Illusion: Twisted Grove Dryad,4128894,Toy,4128892,You're not who you appear to be.,4128892,"Ah, the great outdoors!",4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
28,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,222,0,2300,0,0,Ride of the Wild,8323198,,8323198,Teaches Path of the Wild.,8323198,,4128892,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
29,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,0,101,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,36518,0,0,0,0,0,0,0,0,353,0,2362,0,0,Billy,16712190,,16712190,"The ducks of Northwind are known for their distinctive call, and Billy is no different!",16712190,,16712190,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
30,0,0,0,0,0,262400,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,101,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,108,0,1,0,0,Pattern: Harness of the High Thane,4128894,,4128892,Teaches you how to craft Harness of the High Thane.,4128894,,4128892,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0
